id,ruta,lon,lat
214,BERNARDOQ,-100.3738074,20.598097802
215,BERNARDOQ,-100.3721098,20.596375980
216,BERNARDOQ,-100.369835,20.594161812
217,BERNARDOQ,-100.367333,20.591745696
218,BERNARDOQ,-100.3655866,20.590000695
219,BERNARDOQ,-100.3642502,20.589195730
220,BERNARDOQ,-100.363586,20.588398866
221,BERNARDOQ,-100.3631515,20.586717389
222,BERNARDOQ,-100.3619992,20.584066464
223,BERNARDOQ,-100.3616468,20.580408284
224,BERNARDOQ,-100.3612345,20.577909016
225,BERNARDOQ,-100.3604496,20.574458125
226,BERNARDOQ,-100.3589435,20.571030282
227,BERNARDOQ,-100.3572561,20.567100300
228,BERNARDOQ,-100.3564774,20.564813200
229,BERNARDOQ,-100.3565488,20.563545581
230,BERNARDOQ,-100.3570282,20.562563354
231,BERNARDOQ,-100.357439,20.561360025
232,BERNARDOQ,-100.3577937,20.560620333
233,BERNARDOQ,-100.3588707,20.558890913
234,BERNARDOQ,-100.3600484,20.557914623
235,BERNARDOQ,-100.3605058,20.558069462
236,PIECUESTA,-100.4006632,20.666285963
237,PIECUESTA,-100.3999981,20.663677638
238,PIECUESTA,-100.3997314,20.662574688
239,PIECUESTA,-100.400019,20.661778506
240,PIECUESTA,-100.4010809,20.661339538
241,PIECUESTA,-100.4022522,20.660895121
242,PIECUESTA,-100.4024915,20.659561548
243,PIECUESTA,-100.4031936,20.655640626
244,PIECUESTA,-100.4044997,20.648545054
245,PIECUESTA,-100.4052086,20.644613950
246,PIECUESTA,-100.4056342,20.641089898
247,PIECUESTA,-100.4058142,20.639165249
248,PIECUESTA,-100.4061468,20.635445330
249,PIECUESTA,-100.4061377,20.635018944
250,PIECUESTA,-100.4058363,20.634015647
251,PIECUESTA,-100.4057416,20.633346674
252,PIECUESTA,-100.4059317,20.632586949
253,PIECUESTA,-100.4061634,20.631588091
254,PIECUESTA,-100.4064137,20.630628041
255,PIECUESTA,-100.4067036,20.629840648
256,PIECUESTA,-100.4064264,20.628227032
257,PIECUESTA,-100.4063427,20.627188245
258,PIECUESTA,-100.4061907,20.625895787
259,PIECUESTA,-100.4056711,20.621616460
260,PIECUESTA,-100.4055828,20.620958958
261,PIECUESTA,-100.405256,20.620250319
262,PIECUESTA,-100.4042809,20.618367696
263,PIECUESTA,-100.4041122,20.617115888
264,PIECUESTA,-100.4035944,20.616420285
265,PIECUESTA,-100.4028039,20.615980166
266,PIECUESTA,-100.4024697,20.615476978
267,PIECUESTA,-100.402377,20.613992948
268,PIECUESTA,-100.4020566,20.613028521
269,PIECUESTA,-100.4017211,20.612925594
270,PIECUESTA,-100.4013497,20.612833115
271,PIECUESTA,-100.3998191,20.613038541
272,PIECUESTA,-100.3993734,20.609279042
273,PIECUESTA,-100.3994655,20.603522602
274,PIECUESTA,-100.3994016,20.602245101
275,PIECUESTA,-100.3991771,20.601295670
276,PIECUESTA,-100.3991617,20.600937601
277,PIECUESTA,-100.400517,20.600901348
278,PIECUESTA,-100.400568,20.600076883
279,PIECUESTA,-100.398463,20.592748365
280,PIECUESTA,-100.395543,20.583299145
281,PIECUESTA,-100.3916245,20.584942221
282,PIECUESTA,-100.3893136,20.585732769
283,PIECUESTA,-100.3857937,20.586957984
284,PIECUESTA,-100.3849335,20.584606488
285,PIECUESTA,-100.382939,20.579447818
286,PIECUESTA,-100.3822339,20.577500833
287,PIECUESTA,-100.3826896,20.575934891
288,PIECUESTA,-100.382852,20.571353497
289,PIECUESTA,-100.382942,20.566996206
290,PIECUESTA,-100.3831667,20.557659963
291,PIECUESTA,-100.3820831,20.556366184
292,PIECUESTA,-100.3809991,20.555698373
293,PIECUESTA,-100.379712,20.553672477
294,PIECUESTA,-100.377719,20.550937570
295,PIECUESTA,-100.37681,20.547998093
296,CORREGIDORA,-100.3773121,20.662487686
297,CORREGIDORA,-100.3773342,20.661932078
298,CORREGIDORA,-100.3760891,20.661008390
299,CORREGIDORA,-100.3752212,20.660467689
300,CORREGIDORA,-100.374646,20.659871622
301,CORREGIDORA,-100.3744144,20.659131280
302,CORREGIDORA,-100.3745219,20.658583456
303,CORREGIDORA,-100.3747914,20.658057224
304,CORREGIDORA,-100.3753916,20.657004012
305,CORREGIDORA,-100.3767191,20.654888087
306,CORREGIDORA,-100.3770369,20.654435377
307,CORREGIDORA,-100.3776677,20.654031984
308,CORREGIDORA,-100.3783814,20.653786806
309,CORREGIDORA,-100.3806096,20.653651638
310,CORREGIDORA,-100.3852705,20.653283307
311,CORREGIDORA,-100.3880683,20.653150088
312,CORREGIDORA,-100.3891072,20.652989392
313,CORREGIDORA,-100.390594,20.652255974
314,CORREGIDORA,-100.3910654,20.651930623
315,CORREGIDORA,-100.3914558,20.651624584
316,CORREGIDORA,-100.3917292,20.650956410
317,CORREGIDORA,-100.3915737,20.648903732
318,CORREGIDORA,-100.3919828,20.646572168
319,CORREGIDORA,-100.3931162,20.642435250
320,CORREGIDORA,-100.3937014,20.637440951
321,CORREGIDORA,-100.3938596,20.636030699
322,CORREGIDORA,-100.3938942,20.635482444
323,CORREGIDORA,-100.3937588,20.635032929
324,CORREGIDORA,-100.3933262,20.634493598
325,CORREGIDORA,-100.3923511,20.634142905
326,CORREGIDORA,-100.3914362,20.633812322
327,CORREGIDORA,-100.3904354,20.633493571
328,CORREGIDORA,-100.3902742,20.633163024
329,CORREGIDORA,-100.3906309,20.632465704
330,CORREGIDORA,-100.3909529,20.631958576
331,CORREGIDORA,-100.3910999,20.631394729
332,CORREGIDORA,-100.3911148,20.630857465
333,CORREGIDORA,-100.3908477,20.629708929
334,CORREGIDORA,-100.3905839,20.629061059
335,CORREGIDORA,-100.3903037,20.628581413
336,CORREGIDORA,-100.3898671,20.628132957
337,CORREGIDORA,-100.3891052,20.627682027
338,CORREGIDORA,-100.3884075,20.627497004
339,CORREGIDORA,-100.3872963,20.627448397
340,CORREGIDORA,-100.3863011,20.627381459
