,File Name,land_and_ocean,Latitude,Longitude,julian_date,year,month,day
175,MOD04_3K.A2016263.1750.061.2017328071355.psgscs_000501444664.hdf,13,20.586793899536133,-100.4017333984375,2016263,2016,9,19
192,MOD04_3K.A2019143.1750.061.2019145040052.psgscs_000501444664.hdf,50,20.58704376220703,-100.42823028564453,2019143,2019,5,23
202,MOD04_3K.A2019088.1745.061.2019089013402.psgscs_000501444664.hdf,7,20.589359283447266,-100.39688110351562,2019088,2019,3,29
203,MOD04_3K.A2016101.1805.061.2017326055555.psgscs_000501444664.hdf,108,20.589460372924805,-100.36936950683594,2016101,2016,4,10
208,MOD04_3K.A2019045.1805.061.2019046073618.psgscs_000501444664.hdf,31,20.58681297302246,-100.35545349121094,2019045,2019,2,14
209,MOD04_3K.A2019122.1735.061.2019123012527.psgscs_000501444664.hdf,71,20.587066650390625,-100.394287109375,2019122,2019,5,2
216,MOD04_3K.A2019328.1745.061.2019329011950.psgscs_000501444664.hdf,21,20.587730407714844,-100.41802215576172,2019328,2019,11,24
220,MOD04_3K.A2017022.1720.061.2017312124451.psgscs_000501444664.hdf,-4,20.587162017822266,-100.381103515625,2017022,2017,1,22
224,MOD04_3K.A2016357.1805.061.2017329102117.psgscs_000501444664.hdf,6,20.58747673034668,-100.40518188476562,2016357,2016,12,22
225,MOD04_3K.A2019333.1805.061.2019334072825.psgscs_000501444664.hdf,30,20.59014320373535,-100.35807037353516,2019333,2019,11,29
230,MOD04_3K.A2019259.1725.061.2019260191835.psgscs_000501444664.hdf,18,20.587024688720703,-100.40470886230469,2019259,2019,9,16
240,MOD04_3K.A2018243.1800.061.2018247152657.psgscs_000501444664.hdf,13,20.587112426757812,-100.36604309082031,2018243,2018,8,31
250,MOD04_3K.A2019058.1735.061.2019059211923.psgscs_000501444664.hdf,31,20.58754539489746,-100.37840270996094,2019058,2019,2,27
251,MOD04_3K.A2019312.1745.061.2019313011856.psgscs_000501444664.hdf,13,20.58621597290039,-100.36924743652344,2019312,2019,11,8
254,MOD04_3K.A2018283.1710.061.2018291222005.psgscs_000501444664.hdf,56,20.586990356445312,-100.38298797607422,2018283,2018,10,10
262,MOD04_3K.A2016217.1740.061.2017327164304.psgscs_000501444664.hdf,10,20.587400436401367,-100.4051284790039,2016217,2016,8,4
279,MOD04_3K.A2019110.1710.061.2019111012409.psgscs_000501444664.hdf,16,20.58738899230957,-100.40142059326172,2019110,2019,4,20
291,MOD04_3K.A2018095.1645.061.2018096014601.psgscs_000501444664.hdf,56,20.585582733154297,-100.40567016601562,2018095,2018,4,5
295,MOD04_3K.A2016128.1745.061.2017326131822.psgscs_000501444664.hdf,25,20.587133407592773,-100.412109375,2016128,2016,5,7
301,MOD04_3K.A2016071.1750.061.2017325185549.psgscs_000501444664.hdf,-1,20.587921142578125,-100.38081359863281,2016071,2016,3,11
308,MOD04_3K.A2017123.1740.061.2017314213356.psgscs_000501444664.hdf,115,20.587682723999023,-100.39110565185547,2017123,2017,5,3
321,MOD04_3K.A2019137.1650.061.2019138012658.psgscs_000501444664.hdf,54,20.586637496948242,-100.37715911865234,2019137,2019,5,17
338,MOD04_3K.A2019344.1745.061.2019345014930.psgscs_000501444664.hdf,15,20.587608337402344,-100.413330078125,2019344,2019,12,10
341,MOD04_3K.A2019360.1745.061.2019361011540.psgscs_000501444664.hdf,3,20.587451934814453,-100.40929412841797,2019360,2019,12,26
346,MOD04_3K.A2018010.1805.061.2018011073158.psgscs_000501444664.hdf,16,20.58343505859375,-100.38639068603516,2018010,2018,1,10
347,MOD04_3K.A2018091.1710.061.2018093192607.psgscs_000501444664.hdf,9,20.58709716796875,-100.38479614257812,2018091,2018,4,1
349,MOD04_3K.A2017075.1740.061.2017313061125.psgscs_000501444664.hdf,5,20.586864471435547,-100.40953826904297,2017075,2017,3,16
354,MOD04_3K.A2017208.1800.061.2017316234300.psgscs_000501444664.hdf,29,20.585792541503906,-100.43086242675781,2017208,2017,7,27
356,MOD04_3K.A2016226.1735.061.2017327191545.psgscs_000501444664.hdf,50,20.587112426757812,-100.3824462890625,2016226,2016,8,13
359,MOD04_3K.A2017139.1740.061.2017315025130.psgscs_000501444664.hdf,48,20.587263107299805,-100.39347076416016,2017139,2017,5,19
362,MOD04_3K.A2017183.1805.061.2017315215313.psgscs_000501444664.hdf,37,20.584808349609375,-100.37249755859375,2017183,2017,7,2
375,MOD04_3K.A2016293.1805.061.2017352233659.psgscs_000501444664.hdf,9,20.58616828918457,-100.40079498291016,2016293,2016,10,19
378,MOD04_3K.A2016343.1750.061.2017329113411.psgscs_000501444664.hdf,6,20.5884952545166,-100.41703796386719,2016343,2016,12,8
379,MOD04_3K.A2019359.1700.061.2019360011749.psgscs_000501444664.hdf,5,20.589048385620117,-100.3996810913086,2019359,2019,12,25
380,MOD04_3K.A2019305.1740.061.2019306012405.psgscs_000501444664.hdf,74,20.58755111694336,-100.38887023925781,2019305,2019,11,1
392,MOD04_3K.A2019141.1805.061.2019142074501.psgscs_000501444664.hdf,66,20.58692741394043,-100.4206771850586,2019141,2019,5,21
395,MOD04_3K.A2019127.1750.061.2019128013159.psgscs_000501444664.hdf,14,20.590267181396484,-100.38257598876953,2019127,2019,5,7
400,MOD04_3K.A2019029.1805.061.2019030112814.psgscs_000501444664.hdf,32,20.587657928466797,-100.33919525146484,2019029,2019,1,29
404,MOD04_3K.A2018012.1750.061.2018013015317.psgscs_000501444664.hdf,4,20.587480545043945,-100.36766815185547,2018012,2018,1,12
410,MOD04_3K.A2017363.1740.061.2017364015245.psgscs_000501444664.hdf,39,20.58898162841797,-100.41136932373047,2017363,2017,12,29
415,MOD04_3K.A2018099.1800.061.2018100074622.psgscs_000501444664.hdf,62,20.587087631225586,-100.3616714477539,2018099,2018,4,9
418,MOD04_3K.A2016329.1740.061.2017329024826.psgscs_000501444664.hdf,22,20.58679962158203,-100.37572479248047,2016329,2016,11,24
426,MOD04_3K.A2019349.1805.061.2019351194032.psgscs_000501444664.hdf,13,20.583740234375,-100.35688018798828,2019349,2019,12,15
427,MOD04_3K.A2017137.1750.061.2017315012451.psgscs_000501444664.hdf,65,20.58735466003418,-100.3817367553711,2017137,2017,5,17
432,MOD04_3K.A2017057.1750.061.2017313030304.psgscs_000501444664.hdf,5,20.587644577026367,-100.39144897460938,2017057,2017,2,26
459,MOD04_3K.A2018322.1715.061.2018323014407.psgscs_000501444664.hdf,26,20.587505340576172,-100.40611267089844,2018322,2018,11,18
461,MOD04_3K.A2016341.1805.061.2017329112750.psgscs_000501444664.hdf,5,20.590173721313477,-100.41011810302734,2016341,2016,12,6
464,MOD04_3K.A2019035.1725.061.2019036193651.psgscs_000501444664.hdf,37,20.587343215942383,-100.3867416381836,2019035,2019,2,4
467,MOD04_3K.A2017121.1750.061.2017314213017.psgscs_000501444664.hdf,18,20.587976455688477,-100.3851547241211,2017121,2017,5,1
468,MOD04_3K.A2017295.1805.061.2017297181842.psgscs_000501444664.hdf,21,20.585636138916016,-100.4437484741211,2017295,2017,10,22
482,MOD04_3K.A2016292.1720.061.2017352231740.psgscs_000501444664.hdf,31,20.587093353271484,-100.40384674072266,2016292,2016,10,18
484,MOD04_3K.A2019033.1740.061.2019036190936.psgscs_000501444664.hdf,5,20.58745574951172,-100.40626525878906,2019033,2019,2,2
491,MOD04_3K.A2017322.1745.061.2017323015042.psgscs_000501444664.hdf,4,20.587032318115234,-100.40756225585938,2017322,2017,11,18
499,MOD04_3K.A2018234.1805.061.2018235075835.psgscs_000501444664.hdf,31,20.58838653564453,-100.41268920898438,2018234,2018,8,22
506,MOD04_3K.A2019109.1805.061.2019110073808.psgscs_000501444664.hdf,-4,20.59186553955078,-100.40906524658203,2019109,2019,4,19
513,MOD04_3K.A2019010.1735.061.2019011011918.psgscs_000501444664.hdf,34,20.587116241455078,-100.3973159790039,2019010,2019,1,10
515,MOD04_3K.A2017041.1750.061.2017312204022.psgscs_000501444664.hdf,3,20.587610244750977,-100.40125274658203,2017041,2017,2,10
517,MOD04_3K.A2017167.1805.061.2017315191854.psgscs_000501444664.hdf,-3,20.587865829467773,-100.38057708740234,2017167,2017,6,16
524,MOD04_3K.A2019097.1740.061.2019098014250.psgscs_000501444664.hdf,4,20.587678909301758,-100.38005828857422,2019097,2019,4,7
526,MOD04_3K.A2017361.1750.061.2017362015127.psgscs_000501444664.hdf,32,20.5872745513916,-100.37020874023438,2017361,2017,12,27
530,MOD04_3K.A2019120.1745.061.2019121014302.psgscs_000501444664.hdf,131,20.586671829223633,-100.3989028930664,2019120,2019,4,30
531,MOD04_3K.A2019243.1725.061.2019247211421.psgscs_000501444664.hdf,11,20.587566375732422,-100.40829467773438,2019243,2019,8,31
